full_path,file_name,file_ext,file_size,mod_time
C:\Users\артем\Desktop\CreatingPro\temp\file_poem.txt,file_poem,txt,0,2024-04-02 13:19:39
C:\Users\артем\Desktop\CreatingPro\temp\file_TXT.txt,file_TXT,txt,13,2024-04-02 13:12:27
C:\Users\артем\Desktop\CreatingPro\temp\file_TXT_POEM.txt,file_TXT_POEM,txt,204,2024-04-02 13:24:43
C:\Users\артем\Desktop\CreatingPro\temp\image_bmp.bmp,image_bmp,bmp,2277054,2024-04-30 13:26:20
C:\Users\артем\Desktop\CreatingPro\temp\image_jpeg.jpeg,image_jpeg,jpeg,120059,2024-04-30 13:26:20
C:\Users\артем\Desktop\CreatingPro\temp\image_png.png,image_png,png,1005202,2024-04-30 13:26:20
C:\Users\артем\Desktop\CreatingPro\temp\image_webp.webp,image_webp,webp,90500,2024-04-30 13:26:21
C:\Users\артем\Desktop\CreatingPro\temp\temp_CSV.csv,temp_CSV,csv,76,2024-04-09 13:21:57
C:\Users\артем\Desktop\CreatingPro\temp\temp_CSV_utf-8.csv,temp_CSV_utf-8,csv,118,2024-04-09 13:21:57
C:\Users\артем\Desktop\CreatingPro\temp\temp_SQLite.db,temp_SQLite,db,0,2024-05-07 12:40:39
C:\Users\артем\Desktop\CreatingPro\temp\tmp_cities_Хакасия.csv,tmp_cities_Хакасия,csv,0,2024-04-16 13:24:08
