Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
385200,Респ,Адыгея,,,г,Адыгейск,,,0100000200000,ccdfd496-8108-4655-aadd-bd228747306d,4: город,0,79403000000,79703000001,0107,UTC+3,44.8783715,39.190172,Южный,12689
676450,обл,Амурская,,,г,Свободный,,,2800000500000,dd560dfa-3feb-48e2-aa3b-b71213e7441e,4: город,0,10430000000,10730000,2807,UTC+9,51.361264,128.1218995,Дальневосточный,58594
676280,обл,Амурская,,,г,Тында,,,2800000600000,007e010f-e110-4a55-90a7-c4acac623c9b,4: город,0,10432000000,10732000,2808,UTC+9,55.1546401,124.7468634,Дальневосточный,35574
164170,обл,Архангельская,,,г,Мирный,,,2900000200000,977c7606-1b37-4424-84f7-b0c66c3e4b94,4: город,0,11525000000,11725000,2920,UTC+3,62.7644267,40.3359976,Северо-Западный,30259
165330,обл,Архангельская,р-н,Котласский,г,Сольвычегодск,,,2900800300000,a56a44ee-f79d-4e51-b219-c3c828c7e0c0,4: город,0,11227504000,11627104,2904,UTC+3,61.3318091,46.920351,Северо-Западный,2460
416340,обл,Астраханская,р-н,Камызякский,г,Камызяк,,,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,4: город,1,12225501000,12625101,3023,UTC+4,46.1105429,48.0732724,Южный,16291
452750,Респ,Башкортостан,р-н,Туймазинский,г,Туймазы,,,0204400100000,511a0136-f60c-451b-a2eb-3402103f1223,4: город,1,80450000000,80651101,0269,UTC+5,54.5999889,53.6949081,Приволжский,66849
453700,Респ,Башкортостан,р-н,Учалинский,г,Учалы,,,0204600100000,7b2b052a-49df-4aff-a36f-fb82957da2ea,4: город,1,80455000000,80653101,0256,UTC+5,54.3066965,59.4126559,Приволжский,37771
309640,обл,Белгородская,р-н,Новооскольский,г,Новый Оскол,,,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857,4: город,1,14244501000,14644101001,3114,UTC+3,50.7635162,37.8774026,Центральный,19530
309500,обл,Белгородская,,,г,Старый Оскол,,,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,4: город,1,14440000000,14740000001,3100,UTC+3,51.2965991,37.8349849,Центральный,221163
243600,обл,Брянская,р-н,Злынковский,г,Злынка,,,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a,4: город,1,15223501000,15623101001,3241,UTC+3,52.4265906,31.7360386,Центральный,5507
243140,обл,Брянская,,,г,Клинцы,,,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621,4: город,0,15415000000,15715000001,3200,UTC+3,52.7529052,32.2339161,Центральный,62510
243020,обл,Брянская,,,г,Новозыбков,,,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,4: город,0,15420000000,15720000001,3241,UTC+3,52.5371426,31.9356826,Центральный,40552
403870,обл,Волгоградская,,,г,Камышин,,,3400000300000,0f9fb687-8d03-41a2-968f-033a2ba44f2f,4: город,0,18415000000,18715000001,3453,UTC+3,50.0651261,45.3843816,Южный,119924
162900,обл,Вологодская,р-н,Вытегорский,г,Вытегра,,,3500900100000,f66fbc22-445e-42ab-8f53-3de507d877c9,4: город,1,19222501000,19622101,3533,UTC+3,61.0064157,36.4495835,Северо-Западный,10490
